url,lang,title,category,tags,word_count,date,format
/blog/ai-tabanli-kpi-tahminlemesi-6-adim,tr,"AI Tabanlı KPI Tahminlemesi: 6 Adımda Hayata Geçirme",AI & Analitik,"Yapay Zeka|KPI|Predictive Analytics|Forecasting",517,2026-05-15,makale
/blog/ai-yatirim-roi-hesaplama,tr,"Yapay Zeka Yatırımının ROI'sini Hesaplamak: CFO Rehberi",Finans,"Yapay Zeka|ROI|CFO|Yatırım",305,2026-02-10,makale
/blog/aile-anayasasi-5-maddelik-cekirdek,tr,"Aile Anayasası: 5 Maddelik Çekirdek Şablon",Aile Şirketleri,"Aile Anayasası|Yönetişim|Aile Şirketi|Devir",575,2026-05-12,makale
/blog/aile-sirketleri-stratejik-gecis,tr,"Aile Şirketlerinde Stratejik Geçiş: Kuşak Devri Bir Olay Değil; Bir Mimaridir",Strateji,"aile-sirketi|kurumsallasma|strateji|yonetim-kurulu|founder-notes",917,2026-05-08,makale
/blog/csrd-uyumunda-2026-hareket-plani,tr,"CSRD Uyumunda 2026 Hareket Planı",ESG & Sürdürülebilirlik,"CSRD|ESG|Sürdürülebilirlik|AB Regulasyon",688,2026-05-10,makale
/blog/danismanlik-ucretleri-nasil-belirlenir,tr,"Danışmanlık Ücretleri Nasıl Belirlenir? Fiyatlandırma Modelleri Karşılaştırması",Danışmanlık,"danışmanlık ücretleri|fiyatlandırma|retainer|stratejik danışmanlık|consulting",579,2026-05-29,makale
/blog/dijital-donusum-kpi-ornekleri,tr,"Dijital Dönüşüm KPI Örnekleri: C-Suite için Ölçüm Rehberi 2026",Dijital Dönüşüm,"dijital dönüşüm|KPI|ölçüm|strateji|kurumsal",673,2026-05-29,makale
/blog/dijital-donusum-stratejisi-nasil-olusturulur,tr,"Dijital Dönüşüm Stratejisi Nasıl Oluşturulur? 7 Adımlı Kurumsal Rehber",Dijital Dönüşüm,"dijital dönüşüm|strateji|kurumsal|operasyonel verimlilik",707,2026-05-05,makale
/blog/gdpr-kvkk-farklari,tr,"GDPR ve KVKK Farkları: Türk Şirketleri için Karşılaştırmalı Analiz",KVKK & Regülasyon,"GDPR|KVKK|AB regülasyon|veri koruma|Türkiye-AB",739,2026-05-29,makale
/blog/global-pazarlara-acilma,tr,"Global Pazarlara Açılma Stratejileri",Pazarlama,"Globalleşme|İhracat|Marka Yönetimi",124,2025-12-28,makale
/blog/gpt-tabanli-musteri-hizmetleri-roi,tr,"GPT-Tabanlı Müşteri Hizmetleri Otomasyonunun ROI Modeli",AI & Analitik,"GPT|Müşteri Hizmetleri|ROI|LLM",526,2026-05-25,makale
/blog/insan-kaynaklari-stratejisi-talent-management,tr,"İnsan Kaynakları Stratejisi: Yetenek Yönetimi ile Rekabet Avantajı Oluşturma",İnsan Kaynakları,"insan kaynakları|yetenek yönetimi|işveren markası|hr strateji|çalışan deneyimi",721,2026-05-02,makale
/blog/is-uyusmazliklari-arabuluculuk-stratejisi,tr,"İş Uyuşmazlıklarında Arabuluculuk: Stratejik Yaklaşım ve Uygulama Rehberi",Endüstriyel İlişkiler,"endustriyel-iliskiler|arabuluculuk|is-hukuku|uyusmazlik|insan-kaynaklari",809,2026-05-19,makale
/blog/karbon-muhasebesi-scope-1-2-3-ilk-adimlar,tr,"Karbon Muhasebesi: Scope 1-2-3 İçin İlk Adımlar",ESG & Sürdürülebilirlik,"Karbon|Scope 3|CBAM|Emisyon Hesabı",693,2026-05-28,makale
/blog/kpi-belirleme-ve-olcme-yontemleri,tr,"KPI Belirleme ve Ölçme Yöntemleri: Kapsamlı Kurumsal Rehber",Strateji,"",938,2026-05-05,makale
/blog/kriz-yonetimi-iletisim-cercevesi,tr,"Kurumsal Kriz Yönetimi: İletişim Çerçevesi ve İlk 72 Saat Protokolü",Risk & Kriz Yönetimi,"kriz-yonetimi|iletisim|itibar|risk|kurumsal-strateji",943,2026-05-19,makale
/blog/kurumsal-kultur-donusumu,tr,"Kurumsal Kültür Dönüşümü: Adımlar; Engeller ve Başarı Kriterleri",İnsan Kaynakları,"",879,2026-05-07,makale
/blog/kvkk-uyum-sureci-adim-adim,tr,"KVKK Uyum Süreci: Adım Adım Kurumsal Rehber 2026",KVKK & Regülasyon,"KVKK|uyum|veri koruma|regülasyon|kurumsal",745,2026-05-29,makale
/blog/ma-90-gunluk-kural,tr,"M&A Sonrası Entegrasyonun 90 Günlük Kuralı",Strateji,"m-and-a|post-merger-integration|strateji|entegrasyon|founder-notes",990,2026-05-14,makale
/blog/measuring-ai-investment-roi,en,"Measuring AI Investment ROI: The CFO Framework",Finance,"Artificial Intelligence|ROI|CFO|Investment",303,2026-02-10,makale
/blog/nesil-gecisinde-3-yillik-sermaye-devir-stratejisi,tr,"Nesil Geçişinde 3 Yıllık Sermaye Devir Stratejisi",Aile Şirketleri,"Nesil Geçişi|Sermaye Devri|Aile Şirketi|Veraset",614,2026-05-08,makale
/blog/operasyonel-verimlilik-nasil-arttirilir,tr,"Operasyonel Verimlilik Nasıl Artırılır? Kurumlar İçin Kanıtlanmış 6 Strateji",Operasyonel Verimlilik,"operasyonel verimlilik|süreç optimizasyonu|lean|six sigma|kurumsal",795,2026-05-03,makale
/blog/organizasyonel-degisim-yonetimi,tr,"Dijital Dönüşümde Değişim Yönetimi: İnsan Faktörü",Liderlik,"Değişim Yönetimi|İnsan Kaynakları|Dönüşüm|Liderlik",301,2026-03-01,makale
/blog/premium-consulting-komoditelesemez,tr,"Premium Consulting Neden Komoditeleşemez",Strateji,"premium-consulting|strateji|danismanlik|founder-notes|ecyverse",900,2026-05-04,makale
/blog/proje-yonetimi-best-practices,tr,"Proje Yönetimi Best Practices: Türkiye'de Kurumsal Proje Başarısı",Operasyonel Verimlilik,"proje yönetimi|PMO|agile|PMP|kurumsal|operasyonel verimlilik",770,2026-05-29,makale
/blog/sinir-otesi-ma-degerleme-tuzaklari,tr,"Sınır Ötesi M&A'da Değerleme Tuzakları: Kültürel ve Finansal Kör Noktalar",M&A & Strateji,"m-and-a|cross-border|degerleme|due-diligence|uluslararasi",782,2026-05-19,makale
/blog/stratejik-danismanlik-hizmetleri-secim-kilavuzu,tr,"Stratejik Danışmanlık Firması Nasıl Seçilir? Kurumsal Alıcı Rehberi 2026",Stratejik Danışmanlık,"stratejik danışmanlık|danışmanlık hizmetleri|kurumsal|seçim kriterleri",742,2026-05-04,makale
/blog/stratejik-dijital-donusum-2026,tr,"Stratejik Dijital Dönüşüm Rehberi 2026",Strateji,"Dijital Dönüşüm|Strateji|Yapay Zeka",177,2026-01-05,makale
